,Postal Code,Latitude,Longitude,District,Suburb,City,State,Country
0,50667,50.9398087,6.954751090981728,Altstadt-Nord, Innenstadt, Köln, Nordrhein-Westfalen, Deutschland
1,50668,50.950473099999996,6.962944576674442,Neustadt/Nord, Innenstadt, Köln, Nordrhein-Westfalen, Deutschland
2,50670,50.946885,6.9449965348230425,Neustadt/Nord, Innenstadt, Köln, Nordrhein-Westfalen, Deutschland
3,50672,50.94078842366889,6.938895665368135,Neustadt/Nord, Innenstadt, Köln, Nordrhein-Westfalen, Deutschland
4,50674,50.9323589667566,6.936320538378734,Neustadt/Süd, Innenstadt, Höningen, Nordrhein-Westfalen, Deutschland
5,50676,50.9324717,6.9530076,Altstadt-Süd, Innenstadt, Köln, Nordrhein-Westfalen, Deutschland
6,50677,50.9222793,6.94912510305374,Neustadt/Süd, Innenstadt, Höningen, Nordrhein-Westfalen, Deutschland
7,50678,50.92345831208967,6.96091385500708,Altstadt-Süd, Innenstadt, Köln, Nordrhein-Westfalen, Deutschland
8,50679,50.9301445,6.976867727857957,Deutz, Innenstadt, Köln, Nordrhein-Westfalen, Deutschland
9,50733,50.96900615,6.951903592612524,Nippes, Nippes, Köln, Nordrhein-Westfalen, Deutschland
10,50735,50.9738393,6.9640084,Niehl, Nippes, Köln, Nordrhein-Westfalen, Deutschland
11,50737,50.9940548,6.928347097162531,Longerich, Nippes, Köln, Nordrhein-Westfalen, Deutschland
12,50739,50.97838529662155,6.927593364521239,Bilderstöckchen, Nippes, Köln, Nordrhein-Westfalen, Deutschland
13,50765,51.0225533,6.878071600000001,Volkhoven/Weiler, Chorweiler, Köln, Nordrhein-Westfalen, Deutschland
14,50767,51.006434350000006,6.8920466790932995,Lindweiler, Chorweiler, Köln, Nordrhein-Westfalen, Deutschland
15,50769,51.04509654370838,6.886818872369623,Blumenberg, Chorweiler, Köln, Nordrhein-Westfalen, Deutschland
16,50823,50.950820300000004,6.9259110766796725,Ehrenfeld, Ehrenfeld, Köln, Nordrhein-Westfalen, Deutschland
17,50825,50.95687178677553,6.914293797953916,Neuehrenfeld, Ehrenfeld, Köln, Nordrhein-Westfalen, Deutschland
18,50827,50.9558409,6.894019397276265,Bickendorf, Ehrenfeld, Köln, Nordrhein-Westfalen, Deutschland
19,50829,50.9721119,6.868699523533536,Bocklemünd/Mengenich, Ehrenfeld, Köln, Nordrhein-Westfalen, Deutschland
20,50858,50.9314212,6.849713899999999,Junkersdorf, Lindenthal, Köln, Nordrhein-Westfalen, Deutschland
21,50859,50.958173450000004,6.841959027476878,Widdersdorf, Lindenthal, Köln, Nordrhein-Westfalen, Deutschland
22,50931,50.93346305,6.916362941138541,Lindenthal, Lindenthal, Köln, Nordrhein-Westfalen, Deutschland
23,50933,50.9395411,6.8887776,Braunsfeld, Lindenthal, Köln, Nordrhein-Westfalen, Deutschland
24,50935,50.9253359,6.897061829349173,Lindenthal, Lindenthal, Köln, Nordrhein-Westfalen, Deutschland
25,50937,50.91760399359165,6.922206724169914,Sülz, Lindenthal, Köln, Nordrhein-Westfalen, Deutschland
26,50939,50.90953305,6.925924052054296,Klettenberg, Lindenthal, Köln, Nordrhein-Westfalen, Deutschland
27,50968,50.90141605,6.966656094691265,Marienburg, Rodenkirchen, Köln, Nordrhein-Westfalen, Deutschland
28,50969,50.90285025,6.939591087154449,Zollstock, Rodenkirchen, Köln, Nordrhein-Westfalen, Deutschland
29,50996,50.88153695,6.98367877746361,Rodenkirchen,Rodenkirchen, Köln, Nordrhein-Westfalen, Deutschland
30,50997,50.8653211,6.945951648685249,Immendorf, Rodenkirchen, Köln, Nordrhein-Westfalen, Deutschland
31,50999,50.8720503,7.017388477176771,Sürth, Rodenkirchen, Köln, Nordrhein-Westfalen, Deutschland
32,51061,50.9830804,7.0197625,Höhenhaus, Mülheim, Köln, Nordrhein-Westfalen, Deutschland
33,51063,50.9607931,6.9992391,Mülheim, Mülheim, Köln, Nordrhein-Westfalen, Deutschland
34,51065,50.9599008,7.008073802434184,Mülheim, Mülheim, Köln, Nordrhein-Westfalen, Deutschland
35,51067,50.9716001,7.0391066,Holweide, Mülheim, Köln, Nordrhein-Westfalen, Deutschland
36,51069,50.97566155,7.074264082771038,Dellbrück, Mülheim, Köln, Nordrhein-Westfalen, Deutschland
37,51103,50.940813994005275,7.012899173535765,Kalk, Kalk, Köln, Nordrhein-Westfalen, Deutschland
38,51105,50.9162988,6.994311633918838,Poll, Porz, Köln, Nordrhein-Westfalen, Deutschland
39,51107,50.91375955,7.081829277843804,Rath/Heumar, Kalk, Köln, Nordrhein-Westfalen, Deutschland
40,51109,50.9450109,7.0734987180578965,Brück, Kalk, Köln, Nordrhein-Westfalen, Deutschland
41,51143,50.865496135781335,7.03940982333893,Zündorf, Porz, Köln, Nordrhein-Westfalen, Deutschland
42,51145,50.8888154,7.0802430742981075,Urbach, Porz, Köln, Nordrhein-Westfalen, Deutschland
43,51147,50.8532745,7.124672871699496,Grengel, Porz, Köln, Nordrhein-Westfalen, Deutschland
44,51149,50.91354655000001,7.016883684975676,Westhoven, Porz, Köln, Nordrhein-Westfalen, Deutschland
